handle,official_full,quartile,party_code,pct_small_donors,tweet_count,avg_sentiment,sentiment_std,pct_negative,pct_positive,pct_extreme,avg_anger,avg_fear,avg_joy,avg_disgust,avg_sadness
NormaJTorres,Norma J. Torres,Q1 (lowest),D,0.31,1442,0.2621876754063012,0.7187929597040431,0.260748959778086,0.5305131761442441,0.5631067961165048,0.1241035355544754,0.3494430895045749,0.28234597663221933,0.02460518455505596,0.07150538972738464
RepGarretGraves,Garret Graves,Q1 (lowest),R,0.4,633,0.2650405039531171,0.610603210818282,0.18167456556082148,0.4676145339652449,0.3744075829383886,0.08204008161997356,0.09475539462826811,0.244887383236869,0.03250231697770473,0.051380536482208854
RepJoshG,Josh Gottheimer,Q1 (lowest),D,0.91,2993,0.26567457765191443,0.684500163439194,0.23220848646842632,0.509188105579686,0.5015035081857668,0.11731754776052729,0.22836790419825703,0.29090902135516883,0.033144370934470084,0.07380540979063605
RepMikeTurner,Michael R. Turner,Q1 (lowest),R,0.66,830,0.26761331547455613,0.5971145836746997,0.16265060240963855,0.43855421686746987,0.38433734939759034,0.09198864056155114,0.3068078999690212,0.3535856065403457,0.00981348347778256,0.05462718714976746
RepDrewFerguson,A. Drew Ferguson IV,Q1 (lowest),R,0.32,278,0.27489485050276885,0.7477816022219722,0.2841726618705036,0.539568345323741,0.6294964028776978,0.13256749902368625,0.20577879879425157,0.3820190418057483,0.03406907781446013,0.11327268146422333
RepWilson,Frederica S. Wilson,Q1 (lowest),D,0.68,1957,0.28071029344930537,0.7360346738436253,0.26469085334695963,0.5539090444557997,0.5927439959121104,0.13203913763874076,0.2054862882885969,0.31997704664368976,0.04123063605674104,0.07828915128088183
rep_jackson,Jonathan L. Jackson,Q1 (lowest),D,0.84,444,0.28919623912991704,0.643574095648641,0.18243243243243243,0.5045045045045045,0.47072072072072074,0.09668268238024903,0.2245843174690611,0.2866728424545202,0.02941078666068225,0.09767307007086441
RepEspaillat,Adriano Espaillat,Q1 (lowest),D,1.5,3398,0.29404801867897895,0.5277354903447344,0.0788699234844026,0.4049440847557387,0.34549735138316656,0.12118935793402998,0.2343799050601799,0.255353141792369,0.04035769531561403,0.06068139144198487
RepScottPeters,Scott H. Peters,Q1 (lowest),D,1.32,1001,0.29465827065986117,0.6446061690548742,0.1888111888111888,0.5104895104895105,0.46653346653346656,0.09757074154657563,0.17829880103315146,0.2961567192536464,0.029667179068611126,0.1001829160722791
RepDustyJohnson,Dusty Johnson,Q1 (lowest),R,1.12,764,0.2998992778867951,0.63679828496147,0.18324607329842932,0.49214659685863876,0.4607329842931937,0.08739681777340741,0.14147506226668605,0.31619508547425124,0.028965081704339438,0.05451370536118707
RepEdCase,Ed Case,Q1 (lowest),D,1.67,959,0.3040928043215317,0.4514386296047258,0.027111574556830033,0.38373305526590196,0.28154327424400416,0.0269905906396396,0.06540102195303324,0.2937525488536128,0.009565876518868126,0.04785203957035298
RepGlennIvey,Glenn Ivey,Q1 (lowest),D,1.13,525,0.30418556485857284,0.6899245891286396,0.22857142857142856,0.5352380952380953,0.5428571428571428,0.12818277273027753,0.3799534464328705,0.2869193160729593,0.013401606728356016,0.06728437390244961
PeteSessions,Pete Sessions,Q1 (lowest),R,0.66,613,0.30495837753787514,0.7520630602302273,0.2724306688417618,0.566068515497553,0.6443719412724307,0.09580943981439272,0.16562425247544524,0.41970952090434654,0.043950909687498374,0.06144482384997584
RepFrenchHill,J. French Hill,Q1 (lowest),R,1.24,629,0.3092333913702275,0.7166525336679007,0.24483306836248012,0.5500794912559619,0.5930047694753577,0.1264809755525523,0.30987874685336175,0.3462915949093415,0.020627232714159945,0.08649955403625322
RepHouchin,Erin Houchin,Q1 (lowest),R,1.49,544,0.3156492391272503,0.7404097822405243,0.25735294117647056,0.5753676470588235,0.6323529411764706,0.09152178136216257,0.18116210883411385,0.38835660932668625,0.033561957264550135,0.0744622024158161
