screen_name,followers,following,tweets_count,verified,created_at
AustinScottGA08,35191,743,4274,True,Thu Jan 06 16:01:46 +0000 2011
RepBarragan,30363,7454,11281,True,Thu Jan 05 02:29:18 +0000 2017
RepFrenchHill,38405,1478,7237,True,Wed Dec 31 23:54:58 +0000 2014
RepBrianBabin,42786,890,8471,True,Thu Dec 18 13:28:53 +0000 2014
RepDaleStrong,9793,531,1239,True,Sat Jan 28 03:58:07 +0000 2017
RepMaxineWaters,1441123,669,3772,True,Thu Apr 30 15:17:45 +0000 2009
RepGlennIvey,5930,1915,2415,True,Tue Jan 03 03:12:10 +0000 2023
RepDustyJohnson,33131,340,3728,True,Mon Dec 17 21:44:20 +0000 2018
RepBrianFitz,45798,391,8595,True,Tue Jan 03 15:20:39 +0000 2017
RepHuizenga,38107,5680,11005,True,Tue Jan 04 14:01:28 +0000 2011
RepKamlagerDove,17046,699,3079,True,Wed Jan 11 18:05:49 +0000 2023
DesJarlaisTN04,26160,1944,6675,True,Fri Jan 07 21:47:44 +0000 2011
BradSherman,149219,1334,7028,True,Fri Apr 10 13:38:03 +0000 2009
