"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"KlineJohn Kline (R)","$616883","$27707","4.49%","Raised over $100k"
"BarrassoJohn A Barrasso (R)","$5807201","$260586","4.49%","Raised over $100k"
"FoxxVirginia Foxx (R)","$1578744","$70637","4.47%","Raised over $100k"
"DavisRodney Davis (R)","$2626499","$115910","4.41%","Raised over $100k"
"CoonsChris Coons (D)","$6147380","$271128","4.41%","Raised over $100k"
"WalkerMark Walker (R)","$865499","$37979","4.39%","Raised over $100k"
"CartwrightMatt Cartwright (D)","$967024","$42160","4.36%","Raised over $100k"
"HeckDennis Heck (D)","$1544147","$67050","4.34%","Raised over $100k"
"WestermanBruce Westerman (R)","$715778","$31076","4.34%","Raised over $100k"
"TiptonScott Tipton (R)","$1903931","$82370","4.33%","Raised over $100k"
"ClarkKatherine Clark (D)","$1313286","$56284","4.29%","Raised over $100k"
"AllenRichard W Allen (R)","$1142250","$48785","4.27%","Raised over $100k"
"PatrickSean Patrick Maloney (D)","$3568008","$152171","4.26%","Raised over $100k"
"PearceSteve Pearce (R)","$1840393","$77376","4.20%","Raised over $100k"
"BlackburnMarsha Blackburn (R)","$2186668","$91179","4.17%","Raised over $100k"
"BabinBrian Babin (R)","$1051102","$43386","4.13%","Raised over $100k"
"FranksTrent Franks (R)","$265863","$10783","4.06%","Raised over $100k"
"McConnellMitch McConnell (R)","$30167647","$1222991","4.05%","Raised over $100k"
"KindRon Kind (D)","$2105216","$85037","4.04%","Raised over $100k"
"RoundsMike Rounds (R)","$5520677","$221544","4.01%","Raised over $100k"
"CastroJoaquin Castro (D)","$1192106","$47667","4.00%","Raised over $100k"
"LipinskiDaniel Lipinski (D)","$880695","$35052","3.98%","Raised over $100k"
"BurrRichard Burr (R)","$12904555","$513289","3.98%","Raised over $100k"
"YoungDon Young (R)","$1095211","$43462","3.97%","Raised over $100k"
"RobertsPat Roberts (R)","$8243617","$324930","3.94%","Raised over $100k"
"RobyMartha Roby (R)","$1381821","$54374","3.93%","Raised over $100k"
"CollinsDoug Collins (R)","$1231709","$48113","3.91%","Raised over $100k"
"SanchezLinda Sanchez (D)","$1472078","$57303","3.89%","Raised over $100k"
"HoevenJohn Hoeven (R)","$3797124","$145517","3.83%","Raised over $100k"
"KilmerDerek Kilmer (D)","$2137492","$81374","3.81%","Raised over $100k"
"PaulsenErik Paulsen (R)","$4939819","$187623","3.80%","Raised over $100k"
"FortenberryJeff Fortenberry (R)","$802161","$30433","3.79%","Raised over $100k"
"KinzingerAdam Kinzinger (R)","$1820746","$69007","3.79%","Raised over $100k"
"CarsonAndre Carson (D)","$1116364","$42175","3.78%","Raised over $100k"
"PetersonCollin Peterson (D)","$1201913","$45377","3.78%","Raised over $100k"
"DeGetteDiana DeGette (D)","$1255486","$47292","3.77%","Raised over $100k"
"CarterBuddy Carter (R)","$1004345","$37762","3.76%","Raised over $100k"
"BishopMike Bishop (R)","$1639970","$61566","3.75%","Raised over $100k"
"HiceJody B Hice (R)","$490282","$18404","3.75%","Raised over $100k"
"LaMalfaDoug LaMalfa (R)","$791830","$29677","3.75%","Raised over $100k"
"LangevinJim Langevin (D)","$1139065","$42673","3.75%","Raised over $100k"
"StewartChris Stewart (R)","$911495","$34128","3.74%","Raised over $100k"
"MooreGwen Moore (D)","$1010484","$37548","3.72%","Raised over $100k"
"LujanBen R Lujan (D)","$2107713","$77704","3.69%","Raised over $100k"
"LeahyPatrick Leahy (D)","$4770988","$175562","3.68%","Raised over $100k"
"HannaRichard Hanna (R)","$91424","$3301","3.61%","Raised less than $100k"
"PerlmutterEdwin G Perlmutter (D)","$1891982","$67860","3.59%","Raised over $100k"
"RiceKathleen Rice (D)","$2080991","$74217","3.57%","Raised over $100k"
"LieuTed Lieu (D)","$2029612","$71553","3.53%","Raised over $100k"
"KnightSteve Knight (R)","$1707535","$60037","3.52%","Raised over $100k"
"MaloneyCarolyn B Maloney (D)","$1689237","$58867","3.48%","Raised over $100k"
"BarrAndy Barr (R)","$2519652","$87529","3.47%","Raised over $100k"
"FrelinghuysenRodney Frelinghuysen (R)","$1991920","$68948","3.46%","Raised over $100k"
"ReedTom Reed (R)","$3101846","$107280","3.46%","Raised over $100k"
"BeyerDon Beyer (D)","$1904692","$65404","3.43%","Raised over $100k"
"RyanTim Ryan (D)","$1024125","$34920","3.41%","Raised over $100k"
"MengGrace Meng (D)","$1254504","$42452","3.38%","Raised over $100k"
"CrawfordRick Crawford (R)","$669502","$22545","3.37%","Raised over $100k"
"BeattyJoyce Beatty (D)","$1166061","$39186","3.36%","Raised over $100k"
"WeberRandy Weber (R)","$579289","$19415","3.35%","Raised over $100k"
"IsaksonJohnny Isakson (R)","$11018641","$367936","3.34%","Raised over $100k"
"LoudermilkBarry Loudermilk (R)","$831875","$27750","3.34%","Raised over $100k"
"ReedJack Reed (D)","$4057689","$134633","3.32%","Raised over $100k"
"MenendezRobert Menendez (D)","$14958912","$494233","3.30%","Raised over $100k"
"ClyburnJames E Clyburn (D)","$2172542","$71149","3.27%","Raised over $100k"
"CapuanoMichael E Capuano (D)","$753709","$24546","3.26%","Raised over $100k"
"LevinSander Levin (D)","$1293278","$42018","3.25%","Raised over $100k"
"DavisDanny K Davis (D)","$552638","$17795","3.22%","Raised over $100k"
"HastingsAlcee L Hastings (D)","$798156","$25670","3.22%","Raised over $100k"
"McCaulMichael McCaul (R)","$1661954","$53422","3.21%","Raised over $100k"
"RothfusKeith J Rothfus (R)","$1734460","$55705","3.21%","Raised over $100k"
"ScottTim Scott (R)","$12794494","$407182","3.18%","Raised over $100k"
"RibbleReid Ribble (R)","$477333","$15161","3.18%","Raised over $100k"
"PlaskettStacey Plaskett (D)","$362515","$11512","3.18%","Raised over $100k"
"ColemanAmata Coleman Radewagen (R)","$78278","$2470","3.16%","Raised less than $100k"
"SchraderKurt Schrader (D)","$1711097","$53079","3.10%","Raised over $100k"
"LarsenRick Larsen (D)","$957187","$29540","3.09%","Raised over $100k"
"CarneyJohn Carney (D)","$265403","$8145","3.07%","Raised over $100k"
"WickerRoger Wicker (R)","$3832084","$117490","3.07%","Raised over $100k"
"HuizengaBill Huizenga (R)","$1193988","$36338","3.04%","Raised over $100k"
